설치시설명,상세설치장소,설치유형,소재지도로명주소,,위도,경도,성인아동범용여부,제조사,제조번호,운영담당자명,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자
도시철도공사판암역,지하 1층 역무실 앞,캐비넷방식고정형,대전광역시 동구 옥천로 지하162,,36.31702511,127.4586326,,(주)씨유메디컬,PRIH20B1980,노광현(유선:042-274-3101,042-274-3101,도시철도공사판암역,042-274-3101,도시철도공사판암역,2018-08-21
ktlinkus(주)중부본부대전지사,진잠타운 상가,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.29681824,127.3212077,,나눔테크,NT180K1300279,김정회,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
남부여성가족원,1층 입구 전시실,캐비넷방식고정형,대전광역시 동구 동구청로 36,,36.30187526,127.4603074,,(주)씨유메디컬,RP1H20B00054,정계인,042-270-7753,남부여성가족원,042-270-7753,남부여성가족원,2018-08-21
대전광역시도시철도공사(서구지역),용문역 외삼방향 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.33826984,127.3932799,,(주)씨유메디컬시스템,RP2149B0186,이슬기,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
대전광역시여성가족원,1층 로비,캐비넷방식고정형,대전광역시 서구 배재로 181,,36.32468298,127.3697845,,(주)씨유메디컬시스템,RP1H20B0022,이진영(팩스:042-270-7609),042-270-7612,대전광역시여성가족원,042-270-7612,대전광역시여성가족원,2018-08-21
대전광역시립제1노인전문병원,3층 로비,캐비넷방식고정형,대전광역시 유성구 유성대로 1422,,36.40513546,127.3734697,,(주)메디아나,1.20E+11,유수인,042-862-0023,대전광역시립제1노인전문병원,042-862-0023,대전광역시립제1노인전문병원,2018-08-21
동구국민체육센터,1층 로비,캐비넷방식고정형,대전광역시 동구 가양로 9,,36.33946913,127.4381485,,필립스,B10H-04294,김충신,042-624-6400,동구국민체육센터,042-624-6400,동구국민체육센터,2018-08-21
대전광역시립제1노인전문병원,2층 로비,캐비넷방식고정형,대전광역시 유성구 유성대로 1422,,36.40513546,127.3734697,,(주)메디아나,1.20E+11,유수인,042-862-0023,대전광역시립제1노인전문병원,042-862-0023,대전광역시립제1노인전문병원,2018-08-21
대전시립미술관,대전시립미술관1층 전시안내실,캐비넷방식고정형,대전광역시 서구 둔산대로 155,,36.36704913,127.3857273,,미국 필립스,B10H03991,김태형,042-270-7331,대전시립미술관,042-270-7331,대전시립미술관,2018-08-21
대전광역시도시철도공사(서구지역),시청역 대합실,캐비넷방식고정형,대전광역시 서구 월평동 160-20,,36.35140877,127.3867152,,(주)씨유메디컬시스템,RP1H20B0095,이건순,042-539-3213,대전광역시도시철도공사(서구지역),042-539-3213,대전광역시도시철도공사(서구지역),2018-08-21
ktlinkus(주)중부본부대전지사,미학오투그란데,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.32637591,127.3051225,,나눔테크,NT180K1200660,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,용방마을아파트 어린이집,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.32667366,127.4504255,,나눔테크,NT180K1300276,이회석,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
ktlinkus(주)중부본부대전지사,KT 용전지사 앞,장비부착고정형,대전광역시 서구 괴정동 359-2 KT인재개발원 별관1호,,36.35290871,127.4318558,,나눔테크,NT180K1200465,김정회,042-531-0030,ktlinkus(주)중부본부대전지사,042-531-0030,ktlinkus(주)중부본부대전지사,2018-08-21
대전도시공사(오월드),아프리카 사파리 입구,캐비넷방식고정형,대전광역시 중구 사정공원로 70,,36.28749807,127.3985061,,메디아나,1.20E+11,육근원,042-580-4705,대전도시공사(오월드),042-580-4705,대전도시공사(오월드),2018-08-21
한밭수영장,한밭수영장 여탈의실,캐비넷방식고정형,대전광역시 중구 부사로40번길 3-10,,36.31733691,127.4280159,,씨유네트웍스,P1N45K0131,이찬규 팩스)042-610-4999,042-610-4941,한밭수영장,042-610-4941,한밭수영장,2018-08-21
도시철도공사대동역,지하 3층 승강장 중간,캐비넷방식고정형,대전광역시 동구 계족로 지하176,,36.32954786,127.4428575,,(주)씨유메디컬,RP1H20B0201,김종태(유선:042-625-3103,042-625-3103,도시철도공사대동역,042-625-3103,도시철도공사대동역,2018-08-21
밝은마음의료재단 유성한가족요양병원,6병동 간호스테이션 옆,캐비넷방식고정형,대전광역시 유성구 온천동로 43 (봉명동),,36.35537351,127.3506377,,(주)메디아나,1.20E+11,이인숙 팩스)0426119001,042-611-9000,밝은마음의료재단 유성한가족요양병원,042-611-9000,밝은마음의료재단 유성한가족요양병원,2018-08-21
둔산종합사회복지관,3층 사무실 앞 복도,장비부착고정형,대전광역시 서구 둔산로 241,,36.35196692,127.4011071,,(주)씨유메디칼시스템,G1N40B0062,장인석,042-482-2032,둔산종합사회복지관,042-482-2032,둔산종합사회복지관,2018-08-21
충무체육관,충무체육관 (현관),캐비넷방식고정형,대전광역시 중구 부사로40번길 3-10,,36.31786898,127.4304197,,씨유메디칼시스템,RP1113A0023,이찬규 팩스)042-610-4912,042-610-4915,충무체육관,042-610-4915,충무체육관,2018-08-21
