"번호","명칭","주소","도로명주소","행정시","행정구","행정동","전화번호","설치장소"
"BE_LiST28-0030","한국공항공사","서울특별시 강서구 공항동 150","","서울특별시","강서구","공항동","02-2660-4045","국내선 1층 격리대합실 "
"BE_LiST28-0031","은평구보건소","서울특별시 은평구 녹번동 84","","서울특별시","은평구","녹번동","02-351-8263","민원대기실 1층 "
"BE_LiST28-0032","용산역 경부선","서울특별시 용산구 한강로3가 40-1 수도권철도차량관리단","","서울특별시","용산구","한강로동","02-3780-5810","용산역 12"
"BE_LiST28-0033","용산역 경부선","서울특별시 용산구 한강로3가 40-1 수도권철도차량관리단","","서울특별시","용산구","한강로동","02-3780-5810","용산역 9"
"BE_LiST28-0034","용산역 경부선","서울특별시 용산구 한강로3가 40-1 수도권철도차량관리단","","서울특별시","용산구","한강로동","02-3780-5810","용산역 7"
"BE_LiST28-0035","용산역 경부선","서울특별시 용산구 한강로3가 40-1 수도권철도차량관리단","","서울특별시","용산구","한강로동","02-3780-5810","용산역 3층 맞이방 동쪽 화단 근처 "
"BE_LiST28-0036","방위사업청","서울특별시 용산구 용산동2가 2-15","","서울특별시","용산구","용산2가동","02-2079-6604","투명관 1층 중앙현관 "
"BE_LiST28-0037","방위사업청","서울특별시 용산구 용산동2가 2-15","","서울특별시","용산구","용산2가동","02-2079-6604","청렴관 1층 중앙현관 "
"BE_LiST28-0038","용산역 경부선","서울특별시 용산구 한강로3가 40-1 수도권철도차량관리단","","서울특별시","용산구","한강로동","02-3780-5810","용산역 3층 북쪽 타는 곳 "
"BE_LiST28-0039","국방부 근무지원단","서울특별시 용산구 용산동3가 1 대한민국 국방부","","서울특별시","용산구","한강로동","02-748-1173","본관 지하1층 식당입구 좌측 "
"BE_LiST28-0040","용산역 경부선","서울특별시 용산구 한강로3가 40-1 수도권철도차량관리단","","서울특별시","용산구","한강로동","02-3780-5810","용산역 3층 맞이방 서쪽 화단 근처 "
