"설치시설명",상세설치장소,설치유형,소재지도로명주소,소재지지번주소,위도,경도,성인아동범용여부,제조사,제조번호,운영담당자명,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자
"울산시설공단 울산대공원",울산대공원 현충탑 청원경찰실,캐비넷방식고정형,울산광역시 남구 대공원로 94,,35.52716243,129.2924807,N,(주)라디안,,오창환,052-226-0453,울산시설공단 울산대공원,052-226-0453,울산광역시 시설관리공단,2018-08-29
"케이티링커스동부지사",경진여객 앞 도로,장비부착고정형,울산광역시 남구 대학로 52,,35.53988972,129.2575263,N,한국/(주)나눔테크,NT18C-14-02354,강영관,052-276-6550,케이티링커스동부지사,052-276-6550,케이티링커스동부지사,2018-08-29
"케이티링커스동부지사",롯데마트정문 앞 도로,장비부착고정형,울산광역시 남구 삼산로 74,,35.53413782,129.3154042,N,한국/(주)나눔테크,NT18C-14-02173,강영관,052-276-6550,케이티링커스동부지사,052-276-6550,케이티링커스동부지사,2018-08-29
"케이티링커스동부지사",목화예식장 앞 도로,장비부착고정형,울산광역시 남구 삼산로 226,,35.53810738,129.3319772,N,한국/(주)나눔테크,NT18C-14-02355,강영관,052-276-6550,케이티링커스동부지사,052-276-6550,케이티링커스동부지사,2018-08-29
"케이티링커스동부지사",새동아약국 앞 도로,장비부착고정형,울산광역시 남구 중앙로 304,,35.54765565,129.3091998,N,한국/(주)나눔테크,NT18C-14-02784,강영관,052-276-6550,케이티링커스동부지사,052-276-6550,케이티링커스동부지사,2018-08-29
"평창2차현대아파트",관리동 1층 출입문 입구,캐비넷방식고정형,울산광역시 남구 삼산중로 110,,35.5434255,129.3363471,N,(주)라디안,D-01116050743,이대걸,052-268-2474,평창2차현대아파트,052-268-2474,평창2차현대아파트,2018-08-29
"(주)삼양제넥스",전분당 2층,캐비넷방식고정형,울산광역시 남구 매암로 115,,35.51769437,129.3732778,N,nihon-kohden,532,박진헌,052-278-2541,(주)삼양제넥스,052-278-2541,(주)삼양제넥스,2018-08-29
"(주)삼양제넥스",사무동 출입문 입구,캐비넷방식고정형,울산광역시 남구 매암로 115,,35.51802607,129.3731796,N,USA/PHILIPS,B10E-00543,박진헌,052-278-2541,(주)삼양제넥스,052-278-2541,(주)삼양제넥스,2018-08-29
CGV울산삼산,업스퀘어 5층 CGV 투썸 옆,캐비넷방식고정형,울산광역시 남구 삼산동 1569-1,,35.54118088,129.3389069,N,대한민국/(주)나눔테크,NT18C-13-02583,박진헌,052-990-5532,CGV울산삼산,052-990-5532,CGV울산삼산,2018-08-29
"강변센트럴하이츠",정문 초소 안,장비부착고정형,울산광역시 남구 중앙로290번길 53,,35.54813652,129.314852,N,니혼코덴코리아,6618,김민국,052-256-0215,강변센트럴하이츠,052-256-0215,강변센트럴하이츠,2018-08-29
